X,CCX3MWT1,CCX3MWT3,CCX3MWT4,CCX3MWT5,CCX3MWT6,CCX3MTG1,CCX3MTG3,CCX3MTG4,CCX3MTG5,CCX3MTG6,CCX6MWT1,CCX6MWT2,CCX6MWT3,CCX6MWT4,CCX6MWT5,CCX6MTG1,CCX6MTG3,CCX6MTG4,CCX6MTG5,CCX6MTG6
ENSMUSG00000025492,7.634576261,7.858164111,7.809979324,7.78009029,7.746647199,7.908853522,7.877175595,8.020907844,7.898040042,7.928399669,8.253052187,7.742876805,8.012381616,7.852838457,7.926436833,10.06783339,9.107513162,10.15116792,10.20484184,9.547204892
ENSMUSG00000025498,6.587647293,6.746417277,6.580943392,6.630910347,6.759766264,7.001140767,7.207289441,6.865552033,6.914886394,7.072206917,7.152270043,6.711857529,6.636903849,6.768571422,6.677248423,9.75229674,8.090950218,9.623573298,9.662632457,8.819958948
ENSMUSG00000025503,10.94376271,11.09460446,11.12342041,11.17380363,11.0419278,11.04201933,11.15932349,11.07548217,11.10712678,11.12956176,11.13922149,11.10436018,11.06822288,11.09885722,11.16356839,11.33544466,11.22887132,11.42166704,11.3328127,11.33771207
ENSMUSG00000025504,7.830347498,7.837202298,7.875295173,7.963484433,7.753991205,8.067643042,7.897523927,7.995541804,7.876095757,7.897669067,8.260697094,8.281575615,8.183400621,8.008792747,8.206847674,8.19911208,8.293220609,8.065835672,8.204336345,8.255465884
ENSMUSG00000025508,11.13645861,11.19580433,11.11668651,11.16728136,11.21569131,11.02996938,11.16005881,11.20770712,11.04052675,11.03682284,11.34890209,11.34312747,11.18719163,11.21676746,11.22727259,11.56873581,11.17294914,11.45329301,11.53086504,11.36673293
ENSMUSG00000025509,9.374032302,9.45508733,9.276000696,9.501470155,9.496727737,9.261584648,9.366926266,9.272091031,9.23097121,9.325460681,9.475585926,9.424322398,9.452543279,9.532705957,9.670782502,9.631269615,9.734314609,9.865095077,9.687863079,9.621053142
ENSMUSG00000025510,9.623032903,9.68247486,9.645364327,9.697055442,9.636209583,9.644849654,9.694037737,9.644954192,9.590612537,9.821778983,9.813126062,9.632127443,9.730788778,9.614470546,9.689226143,10.34168102,10.06636817,10.58325627,10.47038073,10.33518646
ENSMUSG00000025511,8.67445175,8.768704047,8.645223608,8.653467703,8.733226929,8.753916547,8.739295802,8.718935568,8.607530152,8.66249814,8.871425857,8.743928442,8.789197787,8.687703866,8.828355115,9.400584827,9.123292439,9.349885006,9.438741194,9.195781264
ENSMUSG00000025525,6.760769387,6.679284652,6.699972809,6.839243841,6.719942123,6.784549101,6.804905311,6.843370079,6.797151426,6.731899403,6.744363138,6.671032571,6.938618612,6.560451211,6.775291394,7.001503624,6.858824395,7.043900896,6.842839211,6.918935439
ENSMUSG00000025529,9.629186063,9.211658106,9.368380096,9.410379555,9.377596368,9.465333996,9.135558694,9.436235284,9.421366901,9.418231791,9.232314709,9.286632342,9.300747651,9.272890359,9.277787808,9.119690888,9.197768139,9.114295978,9.14569498,9.143804873
ENSMUSG00000025531,11.56929685,11.33582163,11.47177654,11.37870884,11.52400557,11.54964651,11.49272501,11.43620656,11.55948677,11.51730058,11.33125274,11.34271857,11.322922,11.43200348,11.4300228,11.25935253,11.29053319,11.2077507,11.15967825,11.24006302
ENSMUSG00000025533,8.595655708,8.749955039,8.676193127,8.800781799,8.590488373,8.752440013,8.650759717,8.711548398,8.585796437,8.6878538,8.849786047,8.84543184,8.836669619,8.825131799,8.806162655,9.020590507,8.884584762,8.783021267,8.9910485,8.871528559
ENSMUSG00000025534,9.129673393,9.061432136,8.973985584,8.980017553,9.135011796,8.944760662,9.103264837,9.024521642,9.017546004,8.993207295,9.146530072,9.076475389,9.044186858,9.069166543,9.072606201,9.648802152,9.263513428,9.84662918,9.740253036,9.400863157
ENSMUSG00000025537,9.544922887,9.56389557,9.449215679,9.507307285,9.477225717,9.40950559,9.333384502,9.412172164,9.327237243,9.442042513,9.521263256,9.510274711,9.546316804,9.413125477,9.520047887,9.194467174,9.421035369,9.175082438,9.251090891,9.413951018
ENSMUSG00000025551,11.25132178,10.98803963,11.18117049,11.10660697,11.04581646,11.12828956,11.05188443,11.16393243,11.13869068,11.16214351,11.08853684,11.09141351,11.00559552,11.09823386,11.12000532,10.78477483,10.96454479,10.66295532,10.68786365,10.84634588
ENSMUSG00000025572,7.454892961,7.354953865,7.580591846,7.502492863,7.21493786,7.443688245,7.518855119,7.361815345,7.54735041,7.233916437,7.750005224,7.681607995,7.565322636,7.563499371,7.715360547,7.99993401,7.837209724,8.228619954,8.204433193,8.019764751
ENSMUSG00000025576,13.6338473,13.55804669,13.53260024,13.72291798,13.70348628,13.59875316,13.7057536,13.65138286,13.63771782,13.66554141,13.54536055,13.55879303,13.50282818,13.7038562,13.65926605,13.35953108,13.58333459,13.36131372,13.3292672,13.48256169
ENSMUSG00000025578,8.59409677,8.515037106,8.570120849,8.523037416,8.430581651,8.435182022,8.364775852,8.42586957,8.225257957,8.367577394,8.276769573,8.195069493,8.526537347,8.419589119,8.28695332,8.17099954,8.334691453,8.295699926,8.34345905,8.278756028
ENSMUSG00000025582,13.96485767,14.08439039,13.9632145,14.10556484,14.08272851,13.99147636,14.17430222,14.08024264,14.054746,14.0580546,13.93002486,13.9372752,13.94071672,14.00064818,13.9583779,13.80775922,13.89321683,13.71738598,13.73034073,13.87762567
ENSMUSG00000025608,10.75930904,10.75524155,10.87518234,10.8218008,10.83993835,10.81159725,10.99516046,10.93192993,10.96660973,10.84695076,10.98461765,10.79318992,10.90553797,10.74937106,10.81598447,11.42245846,11.09808557,11.43252763,11.2807523,11.33012389
ENSMUSG00000025612,9.673521896,9.477244361,9.609498381,9.508783011,9.515441701,9.586112944,9.605374347,9.585227197,9.661724881,9.605942621,9.686410443,9.598484046,9.644851283,9.591535208,9.639773028,9.986864156,9.767254749,10.07774766,10.17616486,9.86623761
ENSMUSG00000025630,12.05810429,11.88929968,12.04735637,11.86141091,12.02477912,12.01072812,12.01816433,11.99122527,12.03152533,12.00745143,11.93376208,11.95283818,11.92915731,11.89227329,11.93537057,11.83486532,11.85025303,11.67391784,11.71630956,11.82088349
ENSMUSG00000025647,10.81641985,10.97371675,10.84930479,11.04959027,10.88012205,10.82791011,10.92942164,10.91204322,10.86514558,10.90908723,10.96946674,10.90755114,10.90917521,10.90728338,11.00981605,11.54182216,11.1647029,11.53608545,11.48809094,11.30413641
ENSMUSG00000025648,9.235202429,9.352741532,9.285928471,9.33973145,9.41124532,9.30625812,9.18594225,9.121607688,9.236330376,9.247495162,9.213729896,9.311083413,9.303739401,9.273498633,9.29725725,9.597203891,9.397906104,9.655502269,9.733461419,9.499154701
ENSMUSG00000025650,6.930613716,7.021261324,6.803199796,6.930098331,6.829558107,6.731524116,6.922906472,6.946770409,6.739488772,6.542561556,6.997099429,6.918815109,7.180131983,6.910092469,6.93260619,7.097051238,6.913177126,7.026540958,7.079213917,6.941275552
ENSMUSG00000025656,14.52433522,14.39012146,14.47877639,14.44120721,14.45500644,14.45765219,14.46568023,14.50708774,14.54571771,14.49135709,14.38082237,14.3809792,14.35674578,14.43220173,14.41957283,14.14834566,14.36613334,14.0931899,14.05380008,14.27769976
ENSMUSG00000025658,13.77553352,13.5568837,13.7374754,13.72777387,13.75443014,13.74093735,13.71929904,13.76951079,13.88931819,13.77675107,13.54925341,13.5734904,13.55598716,13.69296782,13.64706522,13.39186624,13.52248991,13.26016301,13.28666296,13.39894218
